Device ID,In Service,Activation State,Location,Product,Configuration Pending,Provider,Encryption,Firmware Version,Firmware Update Available,Last Received,Comm Status,Commissioned,Key Date,Key Pending Rotation,Latitude,Longitude,Radio Identifiers,Radio Model,Rx Frequency,SSI,Tx Frequency
50883,true,,BUCKINGH-351T912,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:14:18.812,Normal,2022-06-23 10:26:06.503,2025-09-17 10:21:19.000,No,40.42729,-75.08135,FlexNetId: 50532683,FlexNet900,930.5375 MHz,21,901.8875 MHz
53731,true,,BUCKINGH-351RMP2,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:08:12.650,Normal,2024-08-23 15:04:03.497,2025-09-17 10:17:10.000,No,40.4162,-75.11408,FlexNetId: 50480686,FlexNet900K24,930.5125 MHz,28,901.8375 MHz
52928,true,,BYBERRY-148T91,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:20:37.406,Normal,2024-01-16 18:33:26.592,2025-09-17 09:33:02.000,No,40.1549206,-74.9817667,FlexNetId: 50533568,FlexNet900,930.5125 MHz,52,901.8375 MHz
45121,true,,LINTON-351RMP1,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:21:20.581,Normal,2019-02-14 09:40:45.884,2025-09-17 10:06:16.000,No,40.313,-74.912,FlexNetId: 50409982,FlexNet900,930.5375 MHz,20,901.8375 MHz
53672,true,,JENKINTO-140T129,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:15:13.038,Normal,2024-08-27 14:45:43.803,2025-09-17 09:33:05.000,No,40.1169035,-75.1378282,FlexNetId: 50480676,FlexNet900K24,930.5125 MHz,27,901.8375 MHz
46822,true,,LINE-14800RMP1,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:21:13.131,Normal,2020-01-05 21:03:34.764,2025-09-17 10:21:21.000,No,40.015,-75.609,FlexNetId: 50410663,FlexNet900,930.5375 MHz,74,901.8875 MHz
50428,true,,LINE-1098RMP1,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:20:41.603,Normal,2021-12-02 08:41:11.942,2025-09-17 09:50:41.000,No,39.9887,-75.1625,FlexNetId: 50531837,FlexNet900,930.5125 MHz,40,901.8875 MHz
54096,true,,BYBERRY-162T184,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:18:08.705,Normal,2024-10-17 10:05:37.916,2025-09-17 09:33:31.000,No,40.1533245,-74.973219,FlexNetId: 50480608,FlexNet900K24,930.5125 MHz,45,901.8375 MHz
42733,true,,MACDADE-161T787,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:16:40.385,Normal,2020-01-02 14:36:29.372,2025-09-17 10:13:06.000,No,39.924,-75.338,FlexNetId: 50408180,FlexNet900,930.5125 MHz,23,901.8375 MHz
52270,true,,TACONY-132RMP1,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:22:20.112,Normal,2023-07-18 09:37:12.075,2025-09-17 09:28:31.000,No,40.0214297,-75.054607,FlexNetId: 50533139,FlexNet900,930.5125 MHz,70,901.8375 MHz
44220,true,,BUCKINGH-353T1356,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:22:16.975,Normal,2018-12-13 17:09:20.771,2019-02-24 10:57:34.000,No,40.217886,-75.031262,FlexNetId: 50409316,FlexNet900,930.5375 MHz,79,901.8625 MHz
47745,true,,PERKIOME-342T640,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:09:32.914,Normal,2020-08-13 09:23:38.500,2025-09-17 10:05:09.000,No,40.229,-75.406,FlexNetId: 50530655,FlexNet900,930.5375 MHz,31,901.8875 MHz
50895,true,,HEATON-132T92,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:22:18.947,Normal,2022-06-23 10:26:07.924,2025-09-17 09:27:11.000,No,40.15062,-75.1209,FlexNetId: 50532187,FlexNet900,930.5125 MHz,32,901.8375 MHz
44715,true,,NORWALES-344RM4,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:13:56.448,Normal,2019-02-12 11:17:06.242,2023-03-01 20:19:53.000,No,40.1639,-75.33421,FlexNetId: 50409615,FlexNet900,930.5125 MHz,34,901.8375 MHz
